Field,Value
Recipe Name,Crispy Rice Cakes
Implemented,01.01.24
Last Revised,01.02.24
Kitchen,Haute
Stations,Fry
Menu Type,Regular
Meal Period,Nights
Meal Type,Appetizer
Preparation Time,3 minutes
Plating Instructions,Catch Branded Long Plate
Plate Type,
Utensils,
Allergies,"nighshade, capsaicin, gluten (Wheat), Soy, MSG, Finfish (Tuna), Allium (onions), cilantro, Finfish Roe, Eggs "
=== Ingredients ===,
"Rice Cakes, pre-fried","Unit: ea, Qty: 3.0, Prep: prepped"
"Spicy Tuna Mix, piped and cut (x3 ea per order)","Unit: oz, Qty: 2.5, Prep: prepped, thawed"
Wasabi Tobiko,"Unit: g, Qty: 3.5, Prep: mixed with oil"
Spicy Mayo Sauce,"Unit: g, Qty: 7.0, Prep: prepped"
Hellfire Sauce,"Unit: g, Qty: 7.0, Prep: prepped"
=== Steps ===,
Step 1,"in a preheated fryer set to ~350°F, place rice cakes in fryer basket and fry for 2-3 minutes"
Step 2,"Cakes should be golden all around, crispy on outside but warmed and soft inside"
Step 3,"Allow to drain excess oil over fryer, then transfer to C-Fold lined medium mixing bowl to rest"
Step 4,"Once outside has cooled enough to touch, transfer to plate"
Step 5,Top the piped Spicy Tuna mix with wasabi tobiko (use oil in a squeeze bottle to help)
Step 6,tobiko should go lenghtwise down the tuna
Step 7,Transfer tuna to rice cakes using offset spatula; line cakes up side by side
Step 8,"drizzle three even lines of spicy mayo over rice cakes, then repeat with hellfire"
Step 9,"Transfer to plate, staggering diagonally. Garnish with pansy flower"
Step 10,Serve immediately.
