Field,Value
Recipe Name,Edamame Spicy
Implemented,01.01.24
Last Revised,01.02.24
Kitchen,Pastry/Sushi/Haute
Stations,Garde Manger
Menu Type,Regular
Meal Period,Nights
Meal Type,Appetizer
Preparation Time,3 minutes
Plating Instructions,"Bamboo basket, B&B w/ liner"
Plate Type,
Utensils,
Allergies,"Soy, nightshade, capsaicin, allium (garlic), Sesame"
=== Ingredients ===,
Edamame,"Unit: oz, Qty: 10, Prep: "
"Salt, Kosher","Unit: g, Qty: 10, Prep: Diamond Crystal"
"Salt, Maldon Flakey Sea Salt","Unit: g, Qty: 1, Prep: Maldon"
Edamame Spice,"Unit: g, Qty: 10, Prep: S&B"
=== Steps ===,
Step 1,Start with a medium sauce or stock pot (10-12 quarts).  Fill with water and bring to a boil
Step 2,"Season the water heavily with kosher salt, around 500g"
Step 3,Ensure all salt is dissolved before service begins; refill water as it evaporates.
Step 4,"Using a pasta or edamame basket, drop the frozen edamame into the boiling water"
Step 5,Allow to cook for ~2-3 mins or until pods are cooked and floating (taste to check)
Step 6,"Remove from water, shaking the basket to remove excess water"
Step 7,"Transfer to a medium mixing bowl and season with Edamame Spice  (10g or more, to taste)"
Step 8,Reserve to the serving edamame basket (bamboo) and garnish with maldon on top.
Step 9,Serve immediately.
=== Plate Build ===,
Step 1,B&B Plate
Step 2,Beverage Napkin liner
Step 3,"Bamboo Steam Basket, deep side up"
Step 4,(after plating edamame) round bamboo basket to top
