Field,Value
Recipe Name,Sauteed Snapper
Implemented,01.01.24
Last Revised,01.02.24
Kitchen,Haute
Stations,"Grill, Inside Expo"
Menu Type,Regular
Meal Period,Nights
Meal Type,Appetizer
Preparation Time,15 minutes
Plating Instructions,"Bamboo basket, B&B w/ liner"
Plate Type,
Utensils,
Allergies,"lobster, nightshade, capsaicin, dairy, finfish, allium (Garlic, onion), citrus, mushrooms, "
=== Ingredients ===,
"Snapper, skin on","Unit: oz, Qty: 6, Prep: "
Lobster Mash,"Unit: oz, Qty: 4, Prep: "
Lemon Brown Butter Sauce (LBB),"Unit: oz, Qty: 56, Prep: "
Truffle Puree Sauce (Kitchen Sauce),"Unit: g, Qty: 15, Prep: "
"Herbs, Micro Rainbow Mix","Unit: g, Qty: 1, Prep: "
=== Steps ===,
Step 1,"Sear Snapper on plancha skin-side-down, with a touch of oil on plancha first"
Step 2,"Once skin side is crisped and the albumin (white juice in fish) begins to show on side, remove"
Step 3,"transfer to sizzle plate, skin side up, and finish cooking in oven"
Step 4,Lobster Mash should be hot-held in a steam bath.  Ensure it is thick but not dry before serving
Step 5,"On the medium white round plate, draw a curved line just off-center with the truffle puree"
Step 6,Plate the lobster mash in the center of the plate and truffle puree line
Step 7,Plate snapper on top of lobster mash
Step 8,"Starting on a corner of the fish, and spiraling to the outter third of the plate, sauce with LBB"
Step 9,Garnish with micros on top of fish
