Field,Value
Recipe Name,Wagyu Hot Rock
Implemented,01.01.24
Last Revised,01.02.24
Kitchen,Pastry/Sushi/Haute
Stations,Garde Manger
Menu Type,Regular
Meal Period,Nights
Meal Type,Appetizer
Preparation Time,3 minutes
Plating Instructions,wagyu hot rock box
Plate Type,
Utensils,
Allergies,"Mushrooms, Capsaicin, Nightshade, Allium (garlic, onions), Dairy, Soy, Gluten (Wheat)"
=== Ingredients ===,
"A5 Beef (by the ounce, minimum of 2 oz)","Unit: oz, Qty: 2 to 8, Prep: Cut, Cleaned, Sliced"
Bamboo Leaves,"Unit: ea, Qty: 2 or 3, Prep: sassa leaves"
Wagyu Pickles,"Unit: g, Qty: 35, Prep: prepped"
Shiitake Flower,"Unit: ea, Qty: 1, Prep: prepped"
Negi batons,"Unit: ea, Qty: 3 to 4, Prep: prepped"
Beef Love,"Unit: g, Qty: 15, Prep: prepped"
Teriyaki Sauce,"Unit: g, Qty: 28, Prep: prepped"
"Salt, Maldon","Unit: tt, Qty: 0, Prep: Maldon"
"Sesame Seeds, mixed","Unit: tt, Qty: 0, Prep: toasted, mixed"
=== Steps ===,
Step 1,"Slice the A5 Wagyu on level 20 or 21, so each slice is half an ounce (14 grams)"
Step 2,"In a rock salt Wagyu Box, shift the rock salt to create space for the hot stone"
Step 3,Heat the hot stone over a high flame while prepparing other parts
Step 4,"over the rest of the rock salt, offset the bamboo leaves to create a plating area"
Step 5,"Season the beef with the maldon salt and sesame seeds, then shingle in one or two columns"
Step 6,"place the wagyu on the bamboo, leaving room for the pickles and veggies"
Step 7,"On the plancha, sear the shiitake flower and Negi Batons.  Finish cookin in the oven."
Step 8,"Place the pickles at the top of the shingled beef, and place the shiitake and negi around it"
Step 9,Garnish the pickles pile with the extra negi (sliced)
Step 10,"Add the hot stone once fully heated, and season with beef love before serving"
Step 11,Serve immediately
