Field,Value
Recipe Name,Amazu Ponzu
Implemented,2024-02-10 00:00:00
Created,2024-02-10 00:00:00
Shelf Life,7 days
Stations,"Expo, Inside Expo"
Prep Time,~25 mins
Dishes,"Gyoza, Wagyu Fried Rice"
Description,
Equipment,"Stock pot, cambro containers"
Kitchen Tools,"Whisk, knife"
Allergies,"Wheat/gluten, Soy, Allium (Onions), Capsaicin, Cilantro, Ginger"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),12
Recipe Yield (Batch x2),24
Recipe Yield (Batch x3),36
Recipe Yield (Batch x4),48
=== Ingredients ===,
Ponzu Sauce,"Unit: gr, Batch x1: 1420, Batch x2: 2840, Batch x3: 4260, Batch x4: 5680, Prep/Brand: Mizkan Ajipan"
Sushi Vinegar,"Unit: gr, Batch x1: 2400, Batch x2: 4800, Batch x3: 7200, Batch x4: 9600, Prep/Brand: prepped"
Grain Vinegar,"Unit: gr, Batch x1: 940, Batch x2: 1880, Batch x3: 2820, Batch x4: 3760, Prep/Brand: Shiragiku"
"Sugar, granulated white","Unit: gr, Batch x1: 2360, Batch x2: 4720, Batch x3: 7080, Batch x4: 9440, Prep/Brand: Domino"
"Salt, Kosher","Unit: gr, Batch x1: 40, Batch x2: 80, Batch x3: 120, Batch x4: 160, Prep/Brand: Diamond Crystal"
Jalapenos,"Unit: gr, Batch x1: 200, Batch x2: 400, Batch x3: 600, Batch x4: 800, Prep/Brand: chopped"
Shallots,"Unit: gr, Batch x1: 260, Batch x2: 520, Batch x3: 780, Batch x4: 1040, Prep/Brand: chopped"
"Herbs, Cilantro","Unit: gr, Batch x1: 100, Batch x2: 200, Batch x3: 300, Batch x4: 400, Prep/Brand: fresh herbs"
Ginger,"Unit: gr, Batch x1: 55, Batch x2: 110, Batch x3: 165, Batch x4: 220, Prep/Brand: peeled, chopped"
=== Prep Steps ===,
Step 1,"Combine ponzu, sushi vinegar, grain vinegar, sugar and salt in a pot and bring to a boil"
Step 2,"in a cambro or other appropriate container, place the rest of the ingredients"
Step 3,Cover with the liquid set and allow to steep for ~20 minutes
Step 4,Place in the blast chiller.
Step 5,"Reserve in walk in, not strained"
