Field,Value
Recipe Name,Baked Crab Mix
Implemented,2023-10-28 00:00:00
Created,
Shelf Life,2 days
Stations,sushi
Prep Time,5 mins
Dishes,Baked King Crab Hand Roll
Description,
Equipment,
Kitchen Tools,mixing bowl
Allergies,"Shellfish (Crustacean), Finfish, Eggs, Allium (onions)"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),1200
Recipe Yield (Batch x2),2400
Recipe Yield (Batch x3),3600
Recipe Yield (Batch x4),4800
=== Ingredients ===,
"King Crab, chopped","Unit: gr, Batch x1: 900, Batch x2: 1800, Batch x3: 2700, Batch x4: 3600, Prep/Brand: cleaned, chopped"
"Mayonaise, Kewpie","Unit: gr, Batch x1: 400, Batch x2: 800, Batch x3: 1200, Batch x4: 1600, Prep/Brand: Kewpie, red label"
"Spice, Black Peppercorn ground","Unit: gr, Batch x1: 2, Batch x2: 4, Batch x3: 6, Batch x4: 8, Prep/Brand: "
"Herbs, chives","Unit: gr, Batch x1: 20, Batch x2: 40, Batch x3: 60, Batch x4: 80, Prep/Brand: herb, fresh, chopped"
=== Prep Steps ===,
Step 1,"In a mixing bowl, combine all ingredients except black pepper"
Step 2,"Once combined and homogenous, add black pepper"
Step 3,Portion into 18 gram balls into an appropriate container that will resesrve the individual portions
Step 4,Reserve in a cooler.
