Field,Value
Recipe Name,Canto Sauce
Implemented,2024-02-10 00:00:00
Created,2024-02-10 00:00:00
Shelf Life,5 Days
Stations,Entremet
Prep Time,~5 mins
Dishes,Cantonese Lobster
Description,
Equipment,burner range
Kitchen Tools,"Sauce pot, whisk, rubber spatula"
Allergies,"Shellfish / Bivalves, Soy, Wheat / Gluten, MSG"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),0.75
Recipe Yield (Batch x2),1.5
Recipe Yield (Batch x3),2.25
Recipe Yield (Batch x4),3
=== Ingredients ===,
Oyster Sauce,"Unit: gr, Batch x1: 500, Batch x2: 1000, Batch x3: 1500, Batch x4: 2000, Prep/Brand: Lee Kum Kee ""Red Panda"""
Soy Sauce,"Unit: gr, Batch x1: 100, Batch x2: 200, Batch x3: 300, Batch x4: 400, Prep/Brand: Kikkoman"
Sugar,"Unit: gr, Batch x1: 100, Batch x2: 200, Batch x3: 300, Batch x4: 400, Prep/Brand: Domino"
Mirin,"Unit: gr, Batch x1: 100, Batch x2: 200, Batch x3: 300, Batch x4: 400, Prep/Brand: "
=== Prep Steps ===,
Step 1,"Combine all ingredients in a sauce pot, heat over medium-high while mixing until sugar is disolved"
Step 2,"Reserve in quart containers, store in a cooler"
