Field,Value
Recipe Name,Charred Orange Supremes
Implemented,2023-10-28 00:00:00
Created,
Shelf Life,3 days
Stations,sushi
Prep Time,5 mins
Dishes,Scallop Ceviche
Description,
Equipment,
Kitchen Tools,
Allergies,Citrus
Recipe Yield Unit,portion
Recipe Yield (Batch x1),8
Recipe Yield (Batch x2),16
Recipe Yield (Batch x3),24
Recipe Yield (Batch x4),32
=== Ingredients ===,
Oranges,"Unit: ea, Batch x1: 1, Batch x2: 2, Batch x3: 3, Batch x4: 4, Prep/Brand: "
"Sugar, granulated","Unit: gr, Batch x1: 10, Batch x2: 20, Batch x3: 30, Batch x4: 40, Prep/Brand: Domino"
"Salt, Kosher","Unit: gr, Batch x1: 1, Batch x2: 2, Batch x3: 3, Batch x4: 4, Prep/Brand: Diamond Crystal"
=== Prep Steps ===,
Step 1,"Using a sharp knife, cut both to pand bottom from the oranges so that all skin and pith is removed but no flesh"
Step 2,"Shaving from top to bottom, remove skin and pith from sides all the way around."
Step 3,"Cut segments from the orange, leaving connective tissue"
Step 4,Cut each segment into four equel pieces
Step 5,Lightly coat with white granulated sugar
Step 6,Spread out on a sizzle plate or pass tray
Step 7,"Using a butane food torch, ignite away from the food first to eliminate excess butane"
Step 8,Bring flame above orange segments and toast until caramelized
Step 9,Season lightly with salt after
Step 10,Reserve in quart or pint containers and store in the cooler.
