Field,Value
Recipe Name,Pineapple Batons
Implemented,2023-10-28 00:00:00
Created,
Shelf Life,2 days
Stations,sushi
Prep Time,20 mins
Dishes,Salmon Ikura Roll
Description,
Equipment,grill
Kitchen Tools,"knife, deli containers"
Recipe Yield Unit,gr
Recipe Yield (Batch x1),500
Recipe Yield (Batch x2),1000
Recipe Yield (Batch x3),1500
Recipe Yield (Batch x4),2000
=== Ingredients ===,
Pineapple,"Unit: ea, Batch x1: 1, Batch x2: 2, Batch x3: 3, Batch x4: 4, Prep/Brand: fresh"
Pineapple Juice,"Unit: gr, Batch x1: 170, Batch x2: 340, Batch x3: 510, Batch x4: 680, Prep/Brand: Dole"
=== Prep Steps ===,
Step 1,Remove the top and bottom and skin of the pineapple
Step 2,Remove flesh from the core (tough center) of the pineapple
Step 3,Cut into flat sheets approximately the width of a half sheet of nori
Step 4,"On a pre-heated grill, sear the pineapple on both sides until lightly charred / marked"
Step 5,Cut into batons 1x1x11cm (should each be ~10g)
Step 6,Reserve in pineapple juice in quart containers in a cooler.
