Field,Value
Recipe Name,Pineapple Salsa
Implemented,2023-10-28 00:00:00
Created,
Shelf Life,1 day
Stations,sushi
Prep Time,20 mins
Dishes,BF Toro Crudo
Description,
Equipment,
Kitchen Tools,"Knife, deli containers, mixing bowls"
Allergies,"Allium, Nightshade, Capsaicin, Pineapple, Cilantro, Citrus"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),1
Recipe Yield (Batch x2),2
Recipe Yield (Batch x3),3
Recipe Yield (Batch x4),4
=== Ingredients ===,
Pineapple,"Unit: gr, Batch x1: 50, Batch x2: 100, Batch x3: 150, Batch x4: 200, Prep/Brand: brunoise"
"Onion, red spanish","Unit: gr, Batch x1: 2, Batch x2: 4, Batch x3: 6, Batch x4: 8, Prep/Brand: brunoise"
Cucumber,"Unit: gr, Batch x1: 10, Batch x2: 20, Batch x3: 30, Batch x4: 40, Prep/Brand: brunoise"
"Salt, Kosher","Unit: gr, Batch x1: 2, Batch x2: 4, Batch x3: 6, Batch x4: 8, Prep/Brand: Diamond Crystal"
"Sugar, Granulated","Unit: gr, Batch x1: 4, Batch x2: 8, Batch x3: 12, Batch x4: 16, Prep/Brand: Domino"
Yuzu Chili Sauce,"Unit: gr, Batch x1: 5, Batch x2: 10, Batch x3: 15, Batch x4: 20, Prep/Brand: prepped"
"Lime, juice","Unit: gr, Batch x1: 10, Batch x2: 20, Batch x3: 30, Batch x4: 40, Prep/Brand: fresh, juice"
"Herbs, Cilantro","Unit: gr, Batch x1: 1, Batch x2: 2, Batch x3: 3, Batch x4: 4, Prep/Brand: herb, fresh, chiffonade"
Serrano Chili,"Unit: gr, Batch x1: 1, Batch x2: 2, Batch x3: 3, Batch x4: 4, Prep/Brand: brunoise"
Frezno chili,"Unit: gr, Batch x1: 1, Batch x2: 2, Batch x3: 3, Batch x4: 4, Prep/Brand: brunoise"
=== Prep Steps ===,
Step 1,"Brunoise each ingredient - chilis and cucumber should be seeded, herbs cut.  Reserve all ingredients seperately in batches"
Step 2,"Per service, make a x3 or x4 batch."
Step 3,"In a mixing bowl, combine all ingredients and reserve in deli containers"
Step 4,Store in a cooler.
