Field,Value
Recipe Name,Red Wine Mignonette
Implemented,2024-02-10 00:00:00
Created,2024-02-10 00:00:00
Shelf Life,5 days
Stations,Raw/Big Fry
Prep Time,~10 mins
Dishes,Oysters
Description,
Equipment,
Kitchen Tools,"Whisk, knife, mixing bowl"
Allergies,"Fin Fish, Capsaicin, Nightshade, Citrus, Allium (onion, garlic)"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),4
Recipe Yield (Batch x2),8
Recipe Yield (Batch x3),12
Recipe Yield (Batch x4),16
=== Ingredients ===,
"Vinegar, Red Wine (4 quarts)","Unit: gr, Batch x1: 3824, Batch x2: 7648, Batch x3: 11472, Batch x4: 15296, Prep/Brand: "
Shallots,"Unit: gr, Batch x1: 750, Batch x2: 1500, Batch x3: 2250, Batch x4: 3000, Prep/Brand: fresh, brunoise"
"Spice, Black Pepper","Unit: gr, Batch x1: 75, Batch x2: 150, Batch x3: 225, Batch x4: 300, Prep/Brand: ground"
Yuzu Juice,"Unit: gr, Batch x1: 200, Batch x2: 400, Batch x3: 600, Batch x4: 800, Prep/Brand: "
Fish Sauce,"Unit: gr, Batch x1: 100, Batch x2: 200, Batch x3: 300, Batch x4: 400, Prep/Brand: Viet Huong ""3 Crabs"""
Sugar,"Unit: gr, Batch x1: 100, Batch x2: 200, Batch x3: 300, Batch x4: 400, Prep/Brand: Domino"
"Salt, Kosher","Unit: gr, Batch x1: 100, Batch x2: 200, Batch x3: 300, Batch x4: 400, Prep/Brand: Diamond Crystal"
Mirin,"Unit: gr, Batch x1: 300, Batch x2: 600, Batch x3: 900, Batch x4: 1200, Prep/Brand: Takara"
Yuzu Kosho,"Unit: gr, Batch x1: 20, Batch x2: 40, Batch x3: 60, Batch x4: 80, Prep/Brand: MTC ""Blue Yuzu"""
=== Prep Steps ===,
Step 1,Combine all ingredients and mix well with a whisk
Step 2,"When storing, constantly stir as all ingredientes settle to the bottom"
Step 3,Store in quart containers in the cooler
