Field,Value
Recipe Name,Shallot Marmalade
Implemented,2024-02-10 00:00:00
Created,2024-02-10 00:00:00
Shelf Life,5 days
Stations,Inside Expo
Prep Time,~35 mins
Dishes,Truffle Butter Filet
Description,
Equipment,Burner Range
Kitchen Tools,"Rondeau, rubber spatula, deli containers "
Recipe Yield Unit,QT
Recipe Yield (Batch x1),1
Recipe Yield (Batch x2),2
Recipe Yield (Batch x3),3
Recipe Yield (Batch x4),4
=== Ingredients ===,
"Butter, unsalted","Unit: gr, Batch x1: 150, Batch x2: 300, Batch x3: 450, Batch x4: 600, Prep/Brand: Silver Cow"
"Fat, wagyu","Unit: gr, Batch x1: 50, Batch x2: 100, Batch x3: 150, Batch x4: 200, Prep/Brand: prepped"
"Spice, Black Peppercorn","Unit: gr, Batch x1: 15, Batch x2: 30, Batch x3: 45, Batch x4: 60, Prep/Brand: spice, coarse ground"
Shallot Marm - Roasted Shallots,"Unit: gr, Batch x1: 650, Batch x2: 1300, Batch x3: 1950, Batch x4: 2600, Prep/Brand: prepped"
"Salt, Kosher","Unit: gr, Batch x1: 5, Batch x2: 10, Batch x3: 15, Batch x4: 20, Prep/Brand: Diamond Crystal"
Kabayaki Sauce,"Unit: gr, Batch x1: 150, Batch x2: 300, Batch x3: 450, Batch x4: 600, Prep/Brand: J-Basket Unagi Kabayaki Sauce"
Mother #2,"Unit: gr, Batch x1: 100, Batch x2: 200, Batch x3: 300, Batch x4: 400, Prep/Brand: prepped"
"Sauce, Red Wine Jus","Unit: gr, Batch x1: 500, Batch x2: 1000, Batch x3: 1500, Batch x4: 2000, Prep/Brand: prepped"
Chicken Powder,"Unit: gr, Batch x1: 15, Batch x2: 30, Batch x3: 45, Batch x4: 60, Prep/Brand: Knorr Chicken Flavor Broth Mix"
Sun Dried Tomatoes (SDT),"Unit: gr, Batch x1: 150, Batch x2: 300, Batch x3: 450, Batch x4: 600, Prep/Brand: Aviator brand"
=== Prep Steps ===,
Step 1,Heat a small rondeau over hight heat and add wagyu fat.
Step 2,Add the chopped up Roasted Shallots and begin caramelizing until dark brown - stirring constantly and using water to deglaze
Step 3,"Once caramelized, deglaze with Mother #2, then add tomatoes"
Step 4,Add the rest of the ingredients to the pan and fully incorporate
Step 5,"Once all components have been added and the sauce is completely hot, remove from heat"
Step 6,Reserve to quart containers and cool in the blast chiller or ice bath
Step 7,Store in the cooler or freezer
