Field,Value
Recipe Name,Wasabi Aioli
Implemented,2024-02-20 00:00:00
Created,
Shelf Life,14 DAYS
Stations,SUSHI- MAKI
Prep Time,
Dishes,
Description,
Equipment,MIXING BOWL
Kitchen Tools,CAN OPENER
Allergies,"EGGS, DAIRY, FINFISH, ALCOHOL"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),1
Recipe Yield (Batch x2),2
Recipe Yield (Batch x3),3
Recipe Yield (Batch x4),4
=== Ingredients ===,
KEWPIE MAYO,"Unit: gr, Batch x1: 900, Batch x2: 1800, Batch x3: 2700, Batch x4: 3600, Prep/Brand: "
CONDENSED MILK,"Unit: gr, Batch x1: 396, Batch x2: 792, Batch x3: 1188, Batch x4: 1584, Prep/Brand: "
WASABI NANMA,"Unit: gr, Batch x1: 300, Batch x2: 600, Batch x3: 900, Batch x4: 1200, Prep/Brand: "
KIZAMI WASABI,"Unit: gr, Batch x1: 300, Batch x2: 600, Batch x3: 900, Batch x4: 1200, Prep/Brand: "
SUSHI VINEGAR,"Unit: gr, Batch x1: 113, Batch x2: 226, Batch x3: 339, Batch x4: 452, Prep/Brand: "
CALAMANSI SYRUP,"Unit: gr, Batch x1: 113, Batch x2: 226, Batch x3: 339, Batch x4: 452, Prep/Brand: "
=== Prep Steps ===,
Step 1,"COMBINE ALL ITEMS, BLEND WELL, STORE IN QT DELIS."
