Field,Value
Recipe Name,Yuzu Sweet Chili
Implemented,2024-02-10 00:00:00
Created,2024-02-10 00:00:00
Shelf Life,5 days
Stations,Garde Manger
Prep Time,~5 mins
Dishes,Chicken Bao Buns
Description,
Equipment,
Kitchen Tools,
Recipe Yield Unit,QT
Recipe Yield (Batch x1),1
Recipe Yield (Batch x2),2
Recipe Yield (Batch x3),3
Recipe Yield (Batch x4),4
=== Ingredients ===,
Sweet Chili,"Unit: gr, Batch x1: 750, Batch x2: 1500, Batch x3: 2250, Batch x4: 3000, Prep/Brand: Mae Ploy"
"Juice, Yuzu","Unit: gr, Batch x1: 280, Batch x2: 560, Batch x3: 840, Batch x4: 1120, Prep/Brand: "
=== Prep Steps ===,
Step 1,"Mix together in a vitamix blender, blend on high until fully pureed"
Step 2,Reserve in quart containers and store in the cooler.
