Field,Value
Recipe Name,Chicken Bao Flour Dredge
Implemented,2024-02-20 00:00:00
Created,
Shelf Life,~5 days
Stations,prep
Prep Time,~10 mins
Dishes,Chicken Bao Buns
Description,
Equipment,
Kitchen Tools,"Mixing bowl, whisk"
Allergies,"Cinnamon, Mustard, Capsaicin, Nightshade, Gluten (Wheat), Allium (Onion, Garlic)"
Recipe Yield Unit,kg
Recipe Yield (Batch x1),25
Recipe Yield (Batch x2),50
Recipe Yield (Batch x3),75
Recipe Yield (Batch x4),100
=== Ingredients ===,
"Spice, Old Bay","Unit: gr, Batch x1: 175, Batch x2: 350, Batch x3: 525, Batch x4: 700, Prep/Brand: spice, dry"
"Spice, Curry Powder","Unit: gr, Batch x1: 225, Batch x2: 450, Batch x3: 675, Batch x4: 900, Prep/Brand: spice, dry"
"Spice, Cayanne","Unit: gr, Batch x1: 1222, Batch x2: 2444, Batch x3: 3666, Batch x4: 4888, Prep/Brand: spice, dry"
"Spice, Ginger Powder Ground","Unit: gr, Batch x1: 70, Batch x2: 140, Batch x3: 210, Batch x4: 280, Prep/Brand: spice, dry"
"Spice, Paprika","Unit: gr, Batch x1: 650, Batch x2: 1300, Batch x3: 1950, Batch x4: 2600, Prep/Brand: spice, dry"
"Spice, Garlic Powder","Unit: gr, Batch x1: 500, Batch x2: 1000, Batch x3: 1500, Batch x4: 2000, Prep/Brand: spice, dry"
"Spice, Onion Powder","Unit: gr, Batch x1: 500, Batch x2: 1000, Batch x3: 1500, Batch x4: 2000, Prep/Brand: spice, dry"
"Spice, Black Peppercorn ground","Unit: gr, Batch x1: 345, Batch x2: 690, Batch x3: 1035, Batch x4: 1380, Prep/Brand: spice, dry"
"Salt, Kosher","Unit: gr, Batch x1: 580, Batch x2: 1160, Batch x3: 1740, Batch x4: 2320, Prep/Brand: Diamond Crystal"
All Purpose Flour,"Unit: gr, Batch x1: 22730, Batch x2: 45460, Batch x3: 68190, Batch x4: 90920, Prep/Brand: "
=== Prep Steps ===,
Step 1,Mix all ingredients thoroughly
Step 2,Reserve in cambro containers or rolling bin.
