Field,Value
Recipe Name,Herb Aioli
Implemented,2024-02-10 00:00:00
Created,2024-02-10 00:00:00
Shelf Life,5 days
Stations,Garde Manger
Prep Time,~5 mins
Dishes,Chicken Bao
Description,
Equipment,
Kitchen Tools,"Mixing Bowl, Whisk, Rubber Spatula, 
Deli Containers"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),4
Recipe Yield (Batch x2),8
Recipe Yield (Batch x3),12
Recipe Yield (Batch x4),16
=== Ingredients ===,
"Mayo, Kewpie","Unit: gr, Batch x1: 2000, Batch x2: 4000, Batch x3: 6000, Batch x4: 8000, Prep/Brand: Kewpie, tube (Red Label)"
Shiro Dashi,"Unit: gr, Batch x1: 20, Batch x2: 40, Batch x3: 60, Batch x4: 80, Prep/Brand: Kikkoman Kaori Soup Base"
"Herb, Dill","Unit: gr, Batch x1: 52, Batch x2: 104, Batch x3: 156, Batch x4: 208, Prep/Brand: herb, fresh"
"Herb, Tarragon","Unit: gr, Batch x1: 60, Batch x2: 120, Batch x3: 180, Batch x4: 240, Prep/Brand: herb, fresh"
Herb Aioli Pickles,"Unit: gr, Batch x1: 800, Batch x2: 1600, Batch x3: 2400, Batch x4: 3200, Prep/Brand: prepped"
=== Prep Steps ===,
Step 1,"In a large mixing bowl, combine all ingredients and mix together with a whisk until homogenous"
Step 2,Reserve in quart containers and store in the cooler.
