Field,Value
Recipe Name,Pizza - Tomato Truffle
Implemented,2024-02-10 00:00:00
Created,2024-02-10 00:00:00
Shelf Life,5 days
Stations,Raw/Big Fry
Prep Time,~5 mins
Dishes,Sashimi Pizza
Description,
Equipment,
Kitchen Tools,"Mixing Bowl, whisk, knife, rubber spatula"
Allergies,"Soy, Allium, Egg, Wheat, Fin Fish, Nightshade"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),1
Recipe Yield (Batch x2),2
Recipe Yield (Batch x3),3
Recipe Yield (Batch x4),4
=== Ingredients ===,
Truflle Aioli,"Unit: gr, Batch x1: 200, Batch x2: 400, Batch x3: 600, Batch x4: 800, Prep/Brand: prepped"
Oven Roasted Tomatoes,"Unit: gr, Batch x1: 200, Batch x2: 400, Batch x3: 600, Batch x4: 800, Prep/Brand: prepped"
=== Prep Steps ===,
Step 1,Cut the Oven Roasted Tomatoes into a very fine dice
Step 2,Mix with aioli thoroughly
Step 3,Reserve in quart containers in the cooler.
