Field,Value
Recipe Name,Ponzu Wagyu
Implemented,2024-02-10 00:00:00
Created,2024-02-10 00:00:00
Shelf Life,5 Days
Stations,Inside Expo
Prep Time,~5 mins
Dishes,A5 Hot Rock
Description,
Equipment,
Kitchen Tools,Deli containers
Allergies,"Sesame (Oil), Nightshade, Capsaicin, Citrus, Soy, Fin Fish"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),2
Recipe Yield (Batch x2),4
Recipe Yield (Batch x3),6
Recipe Yield (Batch x4),8
=== Ingredients ===,
Rice Vinegar,"Unit: gr, Batch x1: 1020, Batch x2: 2040, Batch x3: 3060, Batch x4: 4080, Prep/Brand: Shiragiku Mizkan"
Soy Sauce,"Unit: gr, Batch x1: 340, Batch x2: 680, Batch x3: 1020, Batch x4: 1360, Prep/Brand: Kikkoman"
Yuzu Juice,"Unit: gr, Batch x1: 85, Batch x2: 170, Batch x3: 255, Batch x4: 340, Prep/Brand: "
Shiro Dashi,"Unit: gr, Batch x1: 85, Batch x2: 170, Batch x3: 255, Batch x4: 340, Prep/Brand: Kikkoman Kaori Soup Base"
Chili Oil,"Unit: gr, Batch x1: 85, Batch x2: 170, Batch x3: 255, Batch x4: 340, Prep/Brand: prepped"
Sesame Oil,"Unit: gr, Batch x1: 85, Batch x2: 170, Batch x3: 255, Batch x4: 340, Prep/Brand: Kadoya brand"
EVOO,"Unit: gr, Batch x1: 85, Batch x2: 170, Batch x3: 255, Batch x4: 340, Prep/Brand: Spoleto"
=== Prep Steps ===,
Step 1,Mix by shaking in a closed quart container or similarily appropriate container
Step 2,Reserve in quart containers in the cooler
