Field,Value
Recipe Name,Spicy Mayo
Implemented,2024-02-10 00:00:00
Created,2024-02-10 00:00:00
Shelf Life,5 days
Stations,various
Prep Time,~20 mins
Dishes,various
Description,
Equipment,Large Immersion Blender
Kitchen Tools,"Rubber Spatula, deli containers, cambro containers"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),1
Recipe Yield (Batch x2),2
Recipe Yield (Batch x3),3
Recipe Yield (Batch x4),4
=== Ingredients ===,
"Mayonaise, Kewpie","Unit: gr, Batch x1: 6860, Batch x2: 13720, Batch x3: 20580, Batch x4: 27440, Prep/Brand: Kewpie, Blue (Gallon)"
Tobanjan,"Unit: gr, Batch x1: 500, Batch x2: 1000, Batch x3: 1500, Batch x4: 2000, Prep/Brand: Yamajirushi"
Sriracha,"Unit: gr, Batch x1: 964, Batch x2: 1928, Batch x3: 2892, Batch x4: 3856, Prep/Brand: Tuong Ot Sriracha (Rooster)"
Shiro Dashi,"Unit: gr, Batch x1: 500, Batch x2: 1000, Batch x3: 1500, Batch x4: 2000, Prep/Brand: Kikkoman Kaori Soup Base"
Sweet Chili,"Unit: gr, Batch x1: 920, Batch x2: 1840, Batch x3: 2760, Batch x4: 3680, Prep/Brand: Mae Ploy"
Honey,"Unit: gr, Batch x1: 1134, Batch x2: 2268, Batch x3: 3402, Batch x4: 4536, Prep/Brand: Bear's Club Honey"
EVOO,"Unit: gr, Batch x1: 450, Batch x2: 900, Batch x3: 1350, Batch x4: 1800, Prep/Brand: Spoleto"
=== Prep Steps ===,
Step 1,"In a 22 qt cambro, blend all ingredients with a large immersion blender until smooth and homogenous"
Step 2,"Reserve in a fresh, clean 22 qt Cambro or transfer to quart containers."
Step 3,Store in the cooler.
