Field,Value
Recipe Name,Wagyu Ponzu Sauce
Implemented,2024-02-10 00:00:00
Created,2024-02-10 00:00:00
Shelf Life,
Stations,
Prep Time,
Dishes,
Description,
Equipment,
Kitchen Tools,
Recipe Yield Unit,QT
Recipe Yield (Batch x1),1
Recipe Yield (Batch x2),2
Recipe Yield (Batch x3),3
Recipe Yield (Batch x4),4
=== Ingredients ===,
Teriyaki,"Unit: gr, Batch x1: 6000, Batch x2: 12000, Batch x3: 18000, Batch x4: 24000, Prep/Brand: "
Soy Dressing,"Unit: gr, Batch x1: 2000, Batch x2: 4000, Batch x3: 6000, Batch x4: 8000, Prep/Brand: "
=== Prep Steps ===,
Step 1,Combine all ingredients
Step 2,R
